0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:16:38 +0700] "GET /BTL/admin/home HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:16:39 +0700] "GET /BTL/admin/home HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:16:42 +0700] "POST /BTL/admin/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:16:42 +0700] "GET /BTL/admin/danh-sach-hoa-don HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:16:52 +0700] "GET /BTL/admin/chi-tiet-hoa-don/6 HTTP/1.1" 200 2249
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:16:55 +0700] "GET /BTL/admin/chi-tiet-hoa-don/6/xac-nhan HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:17:00 +0700] "GET /BTL/admin/chi-tiet-hoa-don/6/huy HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:17:01 +0700] "GET /BTL/admin/chi-tiet-hoa-don/6/xac-nhan HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:17:03 +0700] "GET /BTL/admin/chi-tiet-hoa-don/6/chinh-sua HTTP/1.1" 200 2777
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:17:24 +0700] "POST /BTL/admin/chi-tiet-hoa-don/6/chinh-sua/luu HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:17:31 +0700] "POST /BTL/admin/chi-tiet-hoa-don/6/chinh-sua/luu HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:19:05 +0700] "GET /BTL/admin/chi-tiet-hoa-don/6/chinh-sua HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:19:07 +0700] "POST /BTL/admin/chi-tiet-hoa-don/6/chinh-sua/luu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:19:07 +0700] "GET /BTL/admin/chitiethoadon/6 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:19:55 +0700] "GET /BTL/admin/chi-tiet-hoa-don/6/chinh-sua HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:19:57 +0700] "POST /BTL/admin/chi-tiet-hoa-don/6/chinh-sua/luu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:19:57 +0700] "GET /BTL/admin/chi-tiet-hoa-don/6 HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:20:01 +0700] "GET /BTL/admin/chi-tiet-hoa-don/6 HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:20:03 +0700] "GET /BTL/admin/chi-tiet-hoa-don/6 HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:20:04 +0700] "GET /BTL/admin/chi-tiet-hoa-don/6 HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:20:12 +0700] "GET /BTL/admin/home HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:20:15 +0700] "POST /BTL/admin/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:20:15 +0700] "GET /BTL/admin/danh-sach-hoa-don HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:20:16 +0700] "GET /BTL/admin/danh-sach-tai-khoan HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:20:20 +0700] "GET /BTL/admin/chi-tiet-tai-khoan/27 HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:20:22 +0700] "GET /BTL/admin/chi-tiet-tai-khoan/27/chinh-sua HTTP/1.1" 200 1615
